id,time,numPubs,sumJaccard,sumAdamic,sumInstituteSim,sumClusteringCoef,sumSimMesh,sumCommonFriend,sumCoauthor,dead
abraham_c_6136967_2,10,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
abraham_c_6136967_2,11,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
abramson_r_6454404_3,0,13,0.700960,4.299284,1.000000,1.788334,0.054654,12.000000,31.307692,0
abramson_r_6454404_3,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
abramson_r_6454404_3,2,10,0.654073,3.503783,1.000000,1.849329,0.056331,9.000000,29.200000,0
abramson_r_6454404_3,3,44,0.520701,7.390192,0.272727,1.426471,0.037271,25.590909,77.409091,0
abramson_r_6454404_3,4,10,0.565519,3.276202,1.000000,1.718552,0.057142,9.000000,37.700000,1
abukawa_d_2828763_3,0,4,0.600000,2.164042,1.000000,2.000000,0.071429,3.000000,8.000000,0
abukawa_d_2828763_3,1,17,0.827147,5.496919,1.000000,1.879545,0.040275,16.000000,35.588235,0
abukawa_d_2828763_3,2,2,0.333333,1.442695,1.000000,2.000000,0.100000,1.000000,4.000000,0
abukawa_d_2828763_3,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
abukawa_d_2828763_3,4,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
abukawa_d_2828763_3,5,12,0.588759,3.173574,0.800000,1.605583,0.077766,7.600000,22.600000,0
abukawa_d_2828763_3,6,9,0.749758,3.523975,1.000000,1.923521,0.059259,8.000000,19.444444,0
abukawa_d_2828763_3,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
abukawa_d_2828763_3,8,17,0.719123,5.211390,1.000000,1.749107,0.030311,16.000000,40.764706,0
abukawa_d_2828763_3,9,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
aceto_a_503332_3,0,8,0.717949,3.228968,1.000000,1.893939,0.062831,7.000000,17.000000,0
aceto_a_503332_3,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
aceto_a_503332_3,2,4,0.600000,2.164042,1.000000,2.000000,0.076923,3.000000,8.000000,0
aceto_a_503332_3,3,4,0.543750,2.008456,1.000000,1.857143,0.062500,3.000000,8.750000,0
aceto_a_503332_3,4,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
aceto_a_503332_3,5,5,0.502222,2.076576,1.000000,1.672655,0.086508,4.000000,12.600000,0
aceto_a_503332_3,6,4,0.518182,1.948753,1.000000,1.800000,0.098060,3.000000,9.500000,0
aceto_a_503332_3,7,8,0.634018,3.035664,1.000000,1.776885,0.082085,7.000000,19.000000,0
aceto_a_503332_3,8,7,0.600000,2.164042,1.000000,2.000000,0.058824,3.000000,8.000000,0
aceto_a_503332_3,9,19,0.441326,3.729345,0.416667,1.395257,0.030879,9.222222,30.388889,0
aceto_a_503332_3,10,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
achmad_s_9514951_6,0,6,0.714286,2.790553,1.000000,2.000000,0.066667,5.000000,12.000000,0
